EC_number,MSM5LLHV_P,HSM7CZ2A,HSM6XRQE_P,CSM5FZ4C_P,CSM9X1ZO,EC_class
1.1.1.1,36.959146,51.514694,0.0,9.007912,25.128668,1
1.1.1.100,96.798696,154.938455,0.0,203.208599,144.169145,1
1.1.1.103,37.743329,83.533034,0.0,61.175502,58.389145,1
1.1.1.122,7.49055,49.0884,0.0,47.8037,39.7122,1
1.1.1.127,4.973461,0.517111,0.0,0.487519,1.716855,1
1.1.1.130,0.728255,0.0,0.0,0.0,0.0,1
1.1.1.131,12.908109,52.129863,0.0,45.28038,53.000015,1
1.1.1.132,0.747446,0.0,0.0,25.9484,6.35095,1
1.1.1.133,129.374495,226.075907,0.505579,236.756267,234.450544,1
1.1.1.136,9.43152,19.2645,0.0,17.2394,14.514557,1
1.1.1.14,28.011504,46.47617,0.0,37.041193,40.808298,1
1.1.1.140,3.115759,0.0,0.0,0.0,0.198453,1
1.1.1.154,2.884429,0.0,0.0,0.0,0.0,1
1.1.1.157,6.909018,7.547998,0.676287,10.569989,5.915833,1
1.1.1.159,0.980348,0.0,0.0,0.0,2.19715,1
1.1.1.163,0.0,0.905346,0.0,0.0,0.46022,1
1.1.1.169,65.261017,131.921267,0.0,127.561188,119.010142,1
1.1.1.17,18.244261,8.28452,0.0,0.0,12.385188,1
1.1.1.18,50.917532,95.827671,0.0,247.294337,89.33835,1
1.1.1.193,56.798498,116.202938,0.528116,123.710827,117.729451,1
1.1.1.2,0.568262,0.0,0.932743,1.348649,2.01289,1
1.1.1.202,19.744964,3.230646,0.0,1.4233,11.755945,1
1.1.1.205,79.292292,165.294598,0.478201,137.079644,162.366196,1
1.1.1.21,1.54203,6.106833,0.0,0.0,6.70082,1
1.1.1.215,0.116341,0.0,0.0,0.0,0.0,1
1.1.1.22,155.589976,221.145005,0.0,293.563937,241.721087,1
1.1.1.23,67.510796,109.89293,0.0,96.478291,105.358456,1
1.1.1.244,0.553086,0.0,0.0,3.37483,1.96844,1
1.1.1.25,80.250687,143.82541,0.0,129.400834,106.488007,1
1.1.1.251,0.871112,0.0,0.0,0.0,0.0,1
1.1.1.255,0.0,0.0,0.0,0.0,1.33724,1
1.1.1.26,0.7881,1.844672,0.0,0.0,0.0,1
1.1.1.261,1.55542,5.61415,0.0,0.0,1.814966,1
1.1.1.262,37.916088,93.436963,0.5632,75.265298,55.693234,1
1.1.1.264,2.032264,0.0,0.0,0.0,0.0,1
1.1.1.266,6.5768,34.5306,0.0,0.0,1.62731,1
1.1.1.267,80.189102,149.197517,0.0,124.307824,143.495864,1
1.1.1.268,1.05118,7.03158,0.0,0.0,1.82779,1
1.1.1.27,11.244888,12.751968,0.0,6.452129,17.285111,1
1.1.1.271,75.486569,155.57658,0.0,162.263673,132.394043,1
1.1.1.272,0.508777,2.49122,0.0,0.0,0.906575,1
1.1.1.274,7.769714,3.90481,0.502371,0.0,3.20848,1
1.1.1.276,1.40358,3.131419,0.0,0.747063,0.282048,1
1.1.1.28,10.660869,40.767753,0.0,11.713678,32.698923,1
1.1.1.281,0.0,0.0,0.0,5.82636,9.6796,1
1.1.1.282,1.366152,0.0,0.0,0.0,0.0,1
1.1.1.283,1.00018,5.68268,0.0,9.26414,0.0,1
1.1.1.284,1.126742,0.0,0.0,0.0,0.0,1
1.1.1.289,0.0,1.33767,0.0,0.0,0.0,1
1.1.1.29,21.487704,9.406048,0.0,35.840835,29.10647,1
1.1.1.290,84.227864,324.123128,0.780441,158.63503,194.465772,1
1.1.1.291,0.522622,0.0,0.0,0.0,0.0,1
1.1.1.292,25.106536,11.706994,0.0,29.1148,21.681079,1
1.1.1.298,0.117259,0.0,0.0,0.0,0.0,1
1.1.1.3,66.298852,118.19804,0.0,73.624508,101.511605,1
1.1.1.30,0.0,0.0,0.0,0.0,1.316442,1
1.1.1.304,0.0,0.0,0.0,2.86189,0.0,1
1.1.1.306,0.0,0.840706,0.0,0.0,0.0,1
1.1.1.336,32.962971,71.9123,0.0,65.4394,42.27652,1
1.1.1.34,0.0,0.900086,0.0,0.0,1.12422,1
1.1.1.35,8.187028,3.270562,0.592953,7.026278,3.74899,1
1.1.1.355,2.52831,4.55804,0.0,24.6016,4.23265,1
1.1.1.36,0.385506,1.54634,0.0,0.0,0.0,1
1.1.1.37,69.899809,172.147684,1.169747,112.307871,145.57342,1
1.1.1.373,0.859839,0.0,0.0,0.0,0.0,1
1.1.1.38,1.232631,2.39239,0.0,0.0,0.945605,1
1.1.1.381,0.117259,0.0,0.0,0.0,0.0,1
1.1.1.399,0.196153,0.0,0.0,0.0,0.0,1
1.1.1.40,38.314765,71.812032,0.0,71.969101,49.553266,1
1.1.1.405,0.0,0.0,0.0,0.0,1.312184,1
1.1.1.41,0.0,0.0,0.0,0.431258,0.263793,1
1.1.1.42,39.268716,66.915828,0.0,92.192928,85.766749,1
1.1.1.44,38.478891,93.513691,0.377526,85.444746,74.946371,1
1.1.1.47,0.562384,0.624813,0.0,0.0,0.48222,1
1.1.1.49,26.617964,80.424154,0.0,54.673754,58.68902,1
1.1.1.50,0.523932,0.754073,0.0,0.325684,2.76611,1
1.1.1.51,4.67668,1.34629,0.0,0.0,5.05494,1
1.1.1.57,9.823734,10.686,0.0,6.412102,10.3121,1
1.1.1.58,31.492893,79.078428,0.387527,71.078403,61.924647,1
1.1.1.6,4.426671,3.362267,0.0,10.935318,3.671572,1
1.1.1.60,6.987028,0.931971,0.0,1.77262,0.217779,1
1.1.1.61,0.0,0.0,0.863699,2.580103,0.0,1
1.1.1.64,0.0,0.707818,0.0,0.0,0.0,1
1.1.1.65,0.704485,0.0,0.0,0.0,0.0,1
1.1.1.67,4.059251,9.55094,0.0,0.0,7.00937,1
1.1.1.69,12.776671,4.993154,0.0,21.237457,9.64158,1
1.1.1.77,57.331245,84.582513,0.0,88.530993,74.058119,1
1.1.1.79,5.42057,0.0,0.0,1.29139,0.468134,1
1.1.1.8,1.069847,0.0,0.0,0.0,0.0,1
1.1.1.81,0.0,0.0,0.0,0.0,0.459282,1
1.1.1.85,77.423131,142.575441,0.0,110.30415,137.71781,1
1.1.1.86,86.52355,177.78589,0.0,138.047743,179.342708,1
1.1.1.88,0.0,0.0,0.0,0.282351,0.0,1
1.1.1.93,6.33915,0.0,0.0,0.0,0.0,1
1.1.1.94,97.803477,190.823134,0.0,122.479048,158.314084,1
1.1.1.95,65.727417,113.466046,0.0,93.034907,76.49161,1
1.1.2.3,0.683339,0.0,0.0,0.197967,0.0,1
1.1.3.15,1.716043,0.885695,0.0,1.98531,0.0,1
1.1.5.12,0.26947,0.0,0.0,0.0,0.0,1
1.1.5.2,0.783738,0.0,0.0,0.0,0.0,1
1.1.5.3,34.483092,59.658572,0.0,0.0,6.036215,1
1.1.5.4,1.781554,0.0,0.0,0.0,0.0,1
1.1.99.1,0.838727,0.0,0.0,0.0,0.0,1
1.1.99.14,0.241898,0.0,0.0,0.0,0.0,1
1.1.99.28,1.969851,5.464717,0.0,1.38028,9.30533,1
