Feature,Healthy_mean,IBD_mean,Fold_Change,Log2_FC,P_value,Difference
UNGROUPED,761839.767005,586379.8006616667,1.299225802364518,0.3776521895551318,0.1,175459.96634333336
7.2.1.1,806.43441,480.37708233333336,1.6787528790568231,0.7473898738730836,0.1,326.0573276666666
1.16.3.2,527.188445,221.79396666666665,2.376928700645449,1.249098628241232,0.1,305.3944783333334
5.2.1.8,1133.546003,833.0898106666667,1.3606528233647437,0.44429900372348663,0.1,300.4561923333332
1.11.1.15,447.097452,242.53174066666668,1.8434595437736394,0.8824157556573432,0.1,204.5657113333333
3.5.2.6,331.523146,130.16310266666667,2.5469825104660737,1.3487890529962874,0.1,201.36004333333332
2.7.13.3,1906.678164,2105.262057666667,0.9056726012120486,-0.14293848167086556,0.1,-198.58389366666688
2.7.7.7,796.78893,605.8482853333334,1.3151624743174977,0.39524104013557193,0.1,190.94064466666669
3.6.4.12,1238.813694,1055.4720666666665,1.1737058072151099,0.23107083803931897,0.1,183.34162733333346
1.1.1.290,324.123128,145.776222,2.22342933266579,1.1527865521898648,0.1,178.34690600000002
3.1.6.1,258.13175,435.44176866666663,0.5928042934200036,-0.7543721984019875,0.1,-177.31001866666662
2.7.1.11,443.485999,269.32304266666665,1.6466693477427023,0.7195508900596178,0.1,174.16295633333334
1.6.5.11,824.90293,651.3748723333333,1.2664027506082023,0.3407362941036061,0.1,173.52805766666665
2.7.11.1,85.821067,241.502743,0.35536270078721216,-1.492635832241275,0.1,-155.681676
2.7.7.6,604.251857,459.116967,1.3161174611958961,0.39628825284409325,0.1,145.13488999999998
3.1.26.4,329.70531,196.57450966666667,1.6772536304889405,0.7461008664699804,0.1,133.13080033333333
5.1.3.3,460.732529,328.85343033333334,1.4010269819384003,0.48648474044673434,0.1,131.87909866666666
3.1.1.11,223.29917,94.21904533333333,2.3700003455776897,1.2448872694877466,0.1,129.08012466666668
1.2.7.8,231.303588,113.491038,2.0380780022471905,1.0272092680403837,0.1,117.81254999999999
