EC_number,MSM5LLHV_P,HSM7CZ2A,HSM6XRQE_P,CSM5FZ4C_P,CSM9X1ZO
UNGROUPED,435936.031299,761839.767005,45055.911595,586254.166944,736949.203742
2.7.13.3,1252.827623,1906.678164,1.31735,2770.064314,2292.894236
3.2.1.23,576.583817,1162.983646,0.0,1571.520204,1193.508969
3.6.4.12,753.82768,1238.813694,1.841294,1109.293525,1303.294995
5.2.1.8,578.309369,1133.546003,6.696564,834.63452,1086.325543
1.6.5.11,486.440631,824.90293,0.923602,670.332321,797.351665
3.2.1.22,348.369925,721.089916,0.0,847.753509,765.278958
2.7.7.7,431.821373,796.78893,3.838651,660.415369,725.308114
7.2.1.1,339.610791,806.43441,3.006148,459.1667,642.353756
2.7.7.6,330.078886,604.251857,1.381519,420.013291,627.258724
5.99.1.3,277.466435,535.811367,1.407089,447.477159,565.241337
3.1.6.1,148.242367,258.13175,0.0,875.481545,282.601394
3.2.1.52,261.276451,377.764593,0.0,527.334945,331.223872
5.1.3.3,229.459913,460.732529,0.0,404.298709,352.801669
3.4.21.89,177.288162,427.36436,0.0,369.725212,434.936129
3.2.1.21,157.857115,415.278839,0.0,515.376087,316.590551
6.3.5.5,210.757064,419.704092,1.177976,324.098663,399.668046
5.99.1.2,198.511372,408.80433,2.818496,281.479958,402.322426
7.1.2.2,213.919218,367.50053,0.804334,327.373291,376.785119
2.7.1.11,163.765472,443.485999,0.461448,278.066062,366.137594
