GeneFamily,MSM5LLHV_P,HSM7CZ2A,HSM6XRQE_P,CSM5FZ4C_P,CSM9X1ZO
UniRef90_E4W393,2707.64,2484.31,20.4735,606.898,2450.2
UniRef90_UPI000BB85CB4,5023.56,0.0,0.0,0.0,0.0
UniRef90_A0A078R3T2,196.958,2146.31,0.0,868.994,1102.65
UniRef90_A0A069S3Z8,1162.7,1563.26,0.0,6.64209,1009.28
UniRef90_A0A0H5PX50,0.0,0.0,4.87638,1362.65,2241.62
UniRef90_A0A139LNU5,876.461,797.945,0.0,209.125,850.026
UniRef90_A0A069SLF0,1623.3,630.114,0.0,100.161,319.91
UniRef90_E5VDI7,3.49555,7.21559,0.0,0.0,2644.16
UniRef90_UPI000928192A,2607.02,0.0,0.0,0.0,0.0
UniRef90_A0A329XME7,2356.67,0.0,196.437,0.187293,0.0
UniRef90_A0A174Q9G9,669.063,983.226,1.69116,195.951,644.175
UniRef90_A0A174QBF2,751.519,891.231,12.0195,105.79,638.273
UniRef90_A0A174I2V0,233.444,595.754,0.0,1004.4,488.385
UniRef90_A0A395VRV3,1002.86,149.544,7.35717,832.027,299.735
UniRef90_T4BVE4,639.938,783.974,6.4071,158.71,678.325
UniRef90_A7V4G1,404.788,759.185,0.0,422.248,513.165
UniRef90_T4BXP0,543.991,764.38,5.28867,170.32,477.471
UniRef90_A0A173XT59,247.561,668.508,5.77854,481.682,532.914
UniRef90_Q45122,618.835,726.284,3.42272,141.199,417.199
UniRef90_C3R499,952.942,108.202,2.34329,476.633,322.721
