Pathway,MSM5LLHV_P,HSM7CZ2A,HSM6XRQE_P,CSM5FZ4C_P,CSM9X1ZO
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I,359.841,693.695,0.0,783.47,692.228
PWY-7219: adenosine ribonucleotides de novo biosynthesis,259.009,555.627,1.63889,413.656,557.357
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation,245.387,561.862,0.0,458.814,513.102
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),278.658,530.523,0.0,480.837,478.97
VALSYN-PWY: L-valine biosynthesis,278.658,530.523,0.0,480.837,478.97
PWY-7111: pyruvate fermentation to isobutanol (engineered),278.658,508.865,0.0,480.837,478.97
PWY-6609: adenine and adenosine salvage III,258.167,543.896,0.0,441.438,500.573
PWY-5686: UMP biosynthesis,277.343,543.069,0.0,386.9,534.356
PWY-7221: guanosine ribonucleotides de novo biosynthesis,259.417,536.493,0.0,419.809,511.841
PWY-3841: folate transformations II,259.734,553.355,0.0,402.373,486.155
PWY-6737: starch degradation V,343.256,489.777,0.0,405.129,439.905
PWY-1042: glycolysis IV (plant cytosol),175.055,585.035,0.0,354.543,532.133
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),255.415,516.254,0.0,400.505,472.415
TRNA-CHARGING-PWY: tRNA charging,244.415,514.381,0.0,389.107,492.694
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),259.11,509.858,0.0,409.522,460.789
PWY-5973: cis-vaccenate biosynthesis,228.74,495.947,0.0,463.149,445.504
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),253.06,506.378,0.0,399.842,461.987
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),252.914,509.353,0.0,394.187,455.348
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,231.524,528.159,0.0,394.632,455.503
PWY-2942: L-lysine biosynthesis III,246.245,539.256,0.0,377.487,440.199
